id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors,image
10,tt0069792,11/25/2016,11/25/2016,"Raised in Harlem, Tommy Gibbs becomes a successful mob boss but he clashes with the rival Mafia and his old enemy, dirty cop McKinney.",Black Caesar,https://www.imdb.com/title/tt0069792/,movie,6.4,87,1973,"Action, Crime, Drama, Thriller",3667,2/7/1973,Larry Cohen,https://m.media-amazon.com/images/M/MV5BMTFiYjFiM2ItZmI2Zi00ODI2LTk5ZjYtYzc1OTIxOGNjYTI3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
11,tt0098157,11/25/2016,11/25/2016,Two sweet little old ladies fall victim to an ancient curse that transforms them into bloodthirsty killers!,Les mémés cannibales,https://www.imdb.com/title/tt0098157/,movie,4.8,89,1988,"Comedy, Horror",1841,12/12/1988,Emmanuel Kervyn,https://m.media-amazon.com/images/M/MV5BMzZlZTY2ZWEtZjY4Mi00ZDU4LTgzNWQtZjhhMWM3ZTk4NmRjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
12,tt0099026,11/25/2016,11/25/2016,"A comic-book artist meets a woman on the NYC streets, but after a quick flirtation, she suddenly collapses and is picked up by an old ambulance. He checks all the hospitals in the area, but the woman has disappeared.",The Ambulance,https://www.imdb.com/title/tt0099026/,movie,5.9,96,1990,"Action, Comedy, Horror, Romance, Thriller",3910,8/30/1990,Larry Cohen,https://m.media-amazon.com/images/M/MV5BMmFlMzdlYWQtMzFhZi00YWY1LWIxMzctMTQ2NjNkZjE5ZTJhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg
13,tt0090057,11/25/2016,11/25/2016,A wicked sorcerer tries to sacrifice a group of people inside his house with the intention of using their vitality to keep his wife alive.,Spookies,https://www.imdb.com/title/tt0090057/,movie,4.9,85,1986,"Comedy, Horror",3782,3/31/1986,"Genie Joseph, Brendan Faulkner, Thomas Doran",https://m.media-amazon.com/images/M/MV5BYTcxYmFkOTItM2QwYy00OGM0LWJhOWEtYTAwNTkxYmQ1YzlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
14,tt2600742,11/25/2016,11/25/2016,"When rednecks on a fishing trip kill a great white shark, its spirit comes back for revenge, and soon turns its sights on the town of Smallport.",Ghost Shark,https://www.imdb.com/title/tt2600742/,tvMovie,3.3,87,2013,"Fantasy, Horror",3179,8/22/2013,Griff Furst,https://m.media-amazon.com/images/M/MV5BMTM2NGFlOTYtMzYyMC00YTU1LTlhOGEtNjY2MzYyMjIxMTU5XkEyXkFqcGdeQXVyNjQxODA2ODA@._V1_.jpg
15,tt0093780,11/25/2016,11/25/2016,A teacher is assigned to be the principal of a violent and crime-ridden high school.,The Principal,https://www.imdb.com/title/tt0093780/,movie,6.3,109,1987,"Action, Crime, Drama, Thriller",11011,9/18/1987,Christopher Cain,https://m.media-amazon.com/images/M/MV5BZjhhNTFjZmMtNzJiNy00YjQ1LTk5N2ItNGE4M2E5ZGEwYWQ2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg
16,tt0117774,11/25/2016,11/25/2016,Shale&apos;s Mercenary team is retired after a (not so) covert mission in Cuba. He becomes a substitute teacher at his teacher fiancee&apos;s Miami high school to get those behind kneecapping her. His team helps him.,The Substitute,https://www.imdb.com/title/tt0117774/,movie,6,114,1996,"Action, Crime, Drama, Thriller",14523,4/19/1996,Robert Mandel,https://m.media-amazon.com/images/M/MV5BNDU4MWVhMzctOTc4Zi00NzAwLTliYTItYzU4MmYyN2M1NTYyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
17,tt0097390,11/25/2016,11/25/2016,"Charley Brewster and Peter Vincent must face more vampires, out for revenge.",Fright Night Part 2,https://www.imdb.com/title/tt0097390/,movie,5.9,104,1988,"Comedy, Horror, Thriller",13313,10/31/1988,Tommy Lee Wallace,https://m.media-amazon.com/images/M/MV5BZWJmMjM2OTEtZjI3Zi00MDMwLWEyNjktMzk0YmVjMzY2YWRmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
18,tt0088380,11/25/2016,11/25/2016,"A nomad mercenary on a high-tech motorcycle helps bring about the downfall of the evil Orwellian government, the Omega.",Warrior of the Lost World,https://www.imdb.com/title/tt0088380/,movie,2.6,92,1984,"Action, Sci-Fi, Thriller",2780,4/27/1984,David Worth,https://m.media-amazon.com/images/M/MV5BNjA0YTZlYWMtN2ZiNy00NjQzLTkzOWYtNjI5YjJiYzQwOTYyXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
19,tt0076731,11/25/2016,11/25/2016,A Colorado ski resort is besieged by a sub-human beast that commits brutal murders on the slopes.,Snowbeast,https://www.imdb.com/title/tt0076731/,tvMovie,4.6,86,1977,Horror,2083,4/28/1977,Herb Wallerstein,https://m.media-amazon.com/images/M/MV5BNGNiYTgxMDYtMmNkYS00YzU3LWJkMWUtYTQ5ZDllMzY2OGVkXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_.jpg
20,tt2457138,11/25/2016,11/25/2016,"A werewolf virus is unleashed upon New York, and Major Hoffman looks for a cure while Lt. General Monning wants to establish a new canine army.",Battledogs,https://www.imdb.com/title/tt2457138/,tvMovie,3.5,88,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",1721,4/6/2013,Alexander Yellen,https://m.media-amazon.com/images/M/MV5BMTQzMTUwNzU3M15BMl5BanBnXkFtZTgwNzk5MTQ5MDE@._V1_.jpg
21,tt0071717,11/25/2016,11/25/2016,"A small construction crew on an island is terrorized when a spirit-like being takes over a large bulldozer, and goes on a killing rampage.",Killdozer,https://www.imdb.com/title/tt0071717/,tvMovie,5,74,1974,"Horror, Sci-Fi",1764,2/2/1974,Jerry London,https://m.media-amazon.com/images/M/MV5BZDI4OWI4NTMtYzQ2ZS00YmNjLTg1OWYtNTllYTNmOTE5ZmJhXkEyXkFqcGdeQXVyODEwNDQ0Mzc@._V1_.jpg
22,tt0076644,11/25/2016,11/25/2016,"Sixteen years after Ruby Claire&apos;s gangster boyfriend was shot and killed by four associates, a series of gruesome murders takes place at the drive-in movie theatre she now owns. Meanwhile, the behaviour of her mute daughter Leslie...",Ruby,https://www.imdb.com/title/tt0076644/,movie,4.5,85,1977,"Drama, Horror",1038,6/23/1977,Curtis Harrington,https://m.media-amazon.com/images/M/MV5BZDIyMDM1ODktMjRhYy00MTMyLWFmMDYtNTJlNTc3N2ZmZWViXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg
23,tt0120847,11/25/2016,11/25/2016,A mercenary masquerades as a teacher in order to enter a tough urban school and wreak his revenge upon his brother&apos;s killer.,The Substitute 2: School's Out,https://www.imdb.com/title/tt0120847/,tvMovie,5.1,89,1998,"Action, Crime, Thriller",3080,4/3/1998,Steven Pearl,https://m.media-amazon.com/images/M/MV5BYTQyZGUwNjQtZjgyZi00MTVmLTg0ODktYzZhZTkyNDc1MmJhXkEyXkFqcGdeQXVyMTA0MTI2ODE4._V1_.jpg
24,tt0060666,11/25/2016,11/25/2016,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",Manos: The Hands of Fate,https://www.imdb.com/title/tt0060666/,movie,1.6,70,1966,Horror,36723,11/15/1966,Harold P. Warren,https://m.media-amazon.com/images/M/MV5BYjIxOWMyMzUtNTMzZC00MThjLTljYjQtZjhlOGQzZTkxOTFkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg
25,tt1869362,11/25/2016,11/25/2016,Friends go on a snowy adventure and come face to face with a deadly creature.,Deadly Descent,https://www.imdb.com/title/tt1869362/,tvMovie,2.9,85,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",828,1/26/2013,Marko Mäkilaakso,https://m.media-amazon.com/images/M/MV5BMTg1NjUzMzU4MF5BMl5BanBnXkFtZTgwODkxNTY2NDE@._V1_.jpg
26,tt0125308,11/25/2016,11/25/2016,"When a group of college students come across a redneck in the wilderness murdering his wife&apos;s lover, they become the objects of his crazed vengeance.",Trapped,https://www.imdb.com/title/tt0125308/,movie,5.9,95,1982,Thriller,727,5/28/1982,William Fruet,https://m.media-amazon.com/images/M/MV5BYjlmYTUxMzMtYmY4MC00YzhhLWI5NTgtZTQwNjA4ZTEyZDY0XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg
27,tt0070169,11/25/2016,11/25/2016,"A gangster in Harlem must rescue his ex-wife, who has been kidnapped by the Mafia.",Hell Up in Harlem,https://www.imdb.com/title/tt0070169/,movie,5.9,94,1973,"Action, Crime, Drama, Thriller",1623,12/21/1973,Larry Cohen,https://m.media-amazon.com/images/M/MV5BMTA5ZWY3NTYtYTMwYy00YzA3LTg5MGMtMjA5ZDM5NDIyNGQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
28,tt0074390,11/25/2016,11/25/2016,Random people are terrorized by a malevolent man who brings their worst fears to life.,The Demon,https://www.imdb.com/title/tt0074390/,movie,3.6,94,1979,Horror,959,12/31/1979,Percival Rubens,https://m.media-amazon.com/images/M/MV5BNmY3MjQ4ZTgtYjg2Zi00OWI2LThhMGItZTdhYWVkYjRiNGZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
29,tt0073367,11/25/2016,11/25/2016,"The titular medallion is a gift presented to young Nicole Elmi. Once the girl places the gift around her neck, she is possessed by the spirit of a dead child who was a murderess.",Perché?!,https://www.imdb.com/title/tt0073367/,movie,5.9,81,1975,"Horror, Thriller",771,4/22/1975,Massimo Dallamano,https://m.media-amazon.com/images/M/MV5BODM0NzIzMmMtZmUxOS00Y2QwLWE1NjgtM2QxNDkzYTIzOWRmXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_.jpg
30,tt0081203,11/25/2016,11/25/2016,"A disgruntled phone company employee develops a device whereby those answering a phone can be murdered, and it&apos;s up to Nat Bridger to stop the killer.",Murder by Phone,https://www.imdb.com/title/tt0081203/,movie,5.4,95,1982,"Horror, Thriller, Mystery, Sci-Fi",849,5/27/1982,Michael Anderson,https://m.media-amazon.com/images/M/MV5BN2YwMjE3OGYtMTNiMS00NDk5LWExY2EtN2Y0ZjlkMDUzM2Q5XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
31,tt0080601,11/25/2016,11/25/2016,"An unknown, psychotic driver uses his van to kill unsuspecting female drivers on the freeway.",Death Car on the Freeway,https://www.imdb.com/title/tt0080601/,tvMovie,5.4,91,1979,"Mystery, Thriller",456,9/25/1979,Hal Needham,https://m.media-amazon.com/images/M/MV5BYjg3ZjcxN2MtYzFkNy00YTJlLTk3OTMtZGIzOGMxYjkyY2YzXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_.jpg
32,tt0098505,11/25/2016,11/25/2016,"Two rivaling groups of friends intend to hunt a bear on a forest, but soon they are stalked by a masked madman Vietnam veteran.",Trampa infernal,https://www.imdb.com/title/tt0098505/,movie,5.8,77,1989,"Horror, Thriller",225,10/31/1989,Pedro Galindo III,https://m.media-amazon.com/images/M/MV5BZWIwNzM2MzctYjY3OC00M2E4LWI1MjMtZGJmZjRmMDM5NDNiXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_.jpg
33,tt0098205,11/25/2016,11/25/2016,An adventurer (Hamilton) decides to go in search of the lost city in the Amazon jungle. A motley crew of other people with reasons of their own decide to join him for the wealth of the lost city. But to their horror they find out ...,River of Death,https://www.imdb.com/title/tt0098205/,movie,4.4,101,1989,"Action, Adventure, Drama",1381,5/15/1989,Steve Carver,https://m.media-amazon.com/images/M/MV5BMzY2Mzk0NjI4N15BMl5BanBnXkFtZTcwNDI0NzI5NA@@._V1_.jpg
34,tt0089338,11/25/2016,11/25/2016,A reporter and her cameraman connect a surviving Jonestown leader and a TV exec&apos;s missing son to a drug war where jungle installations are being massacred by an army of natives and a skilled white assassin.,Inferno in diretta,https://www.imdb.com/title/tt0089338/,movie,5.7,90,1984,"Adventure, Horror, Thriller",2479,10/28/1984,Ruggero Deodato,https://m.media-amazon.com/images/M/MV5BNzQ4OWY2MzgtZmZhNi00ZTc4LTgzNGEtM2QxODI2NjY5Njk2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
35,tt0380687,11/25/2016,11/25/2016,A naive young boy unknowingly becomes the pawn of a serial killer.,Satan's Little Helper,https://www.imdb.com/title/tt0380687/,movie,5.3,100,2004,"Comedy, Horror",6276,5/6/2004,Jeff Lieberman,https://m.media-amazon.com/images/M/MV5BNWNhNzcxOGUtNjkyNy00ZTUzLTg3YmQtNmQwNzMyMzZkZWIyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
36,tt0080904,11/25/2016,11/25/2016,"Humanoid sea creatures start killing a fishing town&apos;s residents, and raping their women. It&apos;s up to the townsfolk and a visiting biologist to fight back and fend them off.",Humanoids from the Deep,https://www.imdb.com/title/tt0080904/,movie,5.7,80,1980,"Horror, Sci-Fi",9673,3/28/1980,"Barbara Peeters, Jimmy T. Murakami",https://m.media-amazon.com/images/M/MV5BNmMyZDk2MjItNzM2Yy00YWEwLTk0ZmYtYjJiZDQxMmU5NGQwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
37,tt0079027,11/25/2016,11/25/2016,"Someone, or something, is on an indiscriminate killing and mutilation spree during night-time. Frustrated by the clueless police, the father of the first victim is looking for answers, no matter how far fetched they are.",The Dark,https://www.imdb.com/title/tt0079027/,movie,4.2,92,1979,"Horror, Sci-Fi, Thriller",1711,4/27/1979,"John 'Bud' Cardos, Tobe Hooper",https://m.media-amazon.com/images/M/MV5BMzNkMzU3NmUtNTM4NC00NjRmLTkwZmQtOTAxZjBkYmRjNmVhXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_.jpg
38,tt1022883,11/25/2016,11/25/2016,"When John takes his friends to his deceased uncle&apos;s remote ranch to hunt wild pigs, it seems like a typical guys weekend. But as John and his crew trek deeper into the forest, they begin tracking the awful truth about his uncle&apos;s ...",Pig Hunt,https://www.imdb.com/title/tt1022883/,movie,4.7,99,2008,"Action, Horror, Thriller",2622,7/31/2008,James Isaac,https://m.media-amazon.com/images/M/MV5BMTQwMzk3ODk2OV5BMl5BanBnXkFtZTcwNjQwNDU1Mg@@._V1_.jpg
39,tt0081229,11/25/2016,11/25/2016,"An anthropologist and his students attempt to track down a Bigfoot responsible for a rash of violent murders, only to uncover something even more sinister.",Night of the Demon,https://www.imdb.com/title/tt0081229/,movie,4.7,96,1980,Horror,2288,2/29/1980,James C. Wasson,https://m.media-amazon.com/images/M/MV5BYWU2ZTZlOTQtYWRmMy00ZTlhLWEwYTctMjhmYWUzYjQxYmQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
40,tt0076023,11/25/2016,11/25/2016,A mean trashy exploitation picture about three convicts who escape from jail and hole up at the house of a black minister. There are a few nasty scenes where the minister&apos;s family is being repeatedly terrorized by the thugs. In th...,Fight for Your Life,https://www.imdb.com/title/tt0076023/,movie,6.3,82,1977,"Crime, Drama, Thriller",1659,10/31/1977,Robert A. Endelson,https://m.media-amazon.com/images/M/MV5BYzI0OTFhOGYtMDQ0ZC00YzEzLWE1MTgtNTAxMGJmNjAxZDRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
41,tt0046066,11/25/2016,11/25/2016,A mad scientist named Arana is creating giant spiders and dwarfs in his lab on Zarpa Mesa in Mexico. He wants to create a master race of superwomen by injecting his female subjects with spider venom.,Mesa of Lost Women,https://www.imdb.com/title/tt0046066/,movie,2.7,70,1953,"Horror, Sci-Fi",1778,6/17/1953,"Ron Ormond, Herbert Tevos",https://m.media-amazon.com/images/M/MV5BZWNjNzFhYmYtNzFmZi00MjY4LTk3MDMtZWVjNjZlZWZlMjI0XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
42,tt1258972,11/25/2016,11/25/2016,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",The Man with the Iron Fists,https://www.imdb.com/title/tt1258972/,movie,5.4,95,2012,Action,63357,10/25/2012,RZA,https://m.media-amazon.com/images/M/MV5BMTg5ODI3ODkzOV5BMl5BanBnXkFtZTcwMTQxNjUwOA@@._V1_.jpg
43,tt0056601,11/25/2016,11/25/2016,"After the mysterious crash of a millionaire&apos;s private airplane, three scientists secretly harvest the dying man&apos;s brain and keep it alive in a laboratory in order to communicate with it through telepathy.",The Brain,https://www.imdb.com/title/tt0056601/,movie,5.2,83,1962,"Crime, Horror, Drama, Sci-Fi",331,10/9/1962,Freddie Francis,https://m.media-amazon.com/images/M/MV5BMTg4MzM5MDkyNl5BMl5BanBnXkFtZTgwMTU5Nzk1MDE@._V1_.jpg
44,tt0271972,11/25/2016,11/25/2016,A scientific expedition investigating the outbreak of an unknown viral epidemic on an island in the south Pacific battles with a giant alien spider in the jungle.,Arachnid,https://www.imdb.com/title/tt0271972/,movie,3.9,95,2001,"Action, Adventure, Horror, Sci-Fi, Thriller",3008,6/29/2001,Jack Sholder,https://m.media-amazon.com/images/M/MV5BMTc2NzE1ODIyMV5BMl5BanBnXkFtZTcwMTA3MDQyMQ@@._V1_.jpg
45,tt3889166,11/25/2016,11/25/2016,"A night of reunion in Paris goes horribly wrong for two friends when they recklessly decide to mess with the wrong taxi driver, finding themselves on the wrong side of a punishing manhunt.",Night Fare,https://www.imdb.com/title/tt3889166/,movie,5.5,80,2015,Thriller,1524,7/17/2015,Julien Seri,https://m.media-amazon.com/images/M/MV5BYWMwZWVkOGUtNGJjMy00MGY5LWE1ZWMtNGM5OTJlZGMzNTNkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjQzNzk1MDQ@._V1_.jpg
46,tt0075989,11/25/2016,11/25/2016,Con artist Marilyn Fryser tries to sell bogus real estate deals in an area overrun by giant ants.,Empire of the Ants,https://www.imdb.com/title/tt0075989/,movie,4.2,89,1977,"Adventure, Horror, Sci-Fi",5075,7/29/1977,Bert I. Gordon,https://m.media-amazon.com/images/M/MV5BMTMwMTU2NjIwNV5BMl5BanBnXkFtZTcwMjQ1NTgzNA@@._V1_.jpg
47,tt1705773,11/25/2016,11/25/2016,A megalodon battles with a crocosaurus causing massive destruction. The US Army has to try and destroy the havoc creating monsters.,Mega Shark vs. Crocosaurus,https://www.imdb.com/title/tt1705773/,video,2.4,88,2010,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",5491,11/4/2010,Christopher Ray,https://m.media-amazon.com/images/M/MV5BOTA2MmNjMjgtMTllZC00OGI0LTlhOGItZmE0ZmJmNDMzNWE1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg
48,tt1716753,11/25/2016,11/25/2016,Eight classic monsters fight to the death in an explosive wrestling tournament set inside an abandoned and cursed graveyard.,Monster Brawl,https://www.imdb.com/title/tt1716753/,movie,3.6,89,2011,"Action, Comedy, Horror, Sport",2503,7/23/2011,Jesse Thomas Cook,https://m.media-amazon.com/images/M/MV5BMTMxMTgwMTQ3Ml5BMl5BanBnXkFtZTcwMDY4OTc0NA@@._V1_.jpg
49,tt0092085,11/25/2016,11/25/2016,"Two skateboarding gangs battle each other for supremacy, and a member of one gang falls in love with the sister of his rival.",Thrashin',https://www.imdb.com/title/tt0092085/,movie,6.5,93,1986,"Action, Drama, Romance",4721,8/29/1986,David Winters,https://m.media-amazon.com/images/M/MV5BNzdlNWE5YTQtZjA2Ni00NjFhLTg0MTktYjg3ZTUzN2E1MGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
50,tt0082700,11/25/2016,11/25/2016,"Three friends set out to disprove cannibalism on a trip to the Amazonian jungle, where they meet two men trying to escape a vicious cannibal tribe.",Cannibal ferox,https://www.imdb.com/title/tt0082700/,movie,5.1,93,1981,"Adventure, Horror",10266,4/24/1981,Umberto Lenzi,https://m.media-amazon.com/images/M/MV5BYzRhYzFkNDktZWIwYy00OTdkLWFmMGUtZWZmNzIyMGFmZjZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI5NjY3MDU@._V1_.jpg
51,tt0082748,11/25/2016,11/25/2016,The co-eds of a Boston college campus are targeted by a mysterious killer who is creating a human jigsaw puzzle from their body parts.,Mil gritos tiene la noche,https://www.imdb.com/title/tt0082748/,movie,6,85,1982,"Horror, Mystery, Thriller",11568,8/23/1982,Juan Piquer Simón,https://m.media-amazon.com/images/M/MV5BMTgwZjljOTQtMTgzNS00NjY4LWJiNmQtYjkzNGQ3NTQ2ZmZjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg
52,tt0190865,11/25/2016,11/25/2016,"A climber must rescue his sister on top of K2, one of the world&apos;s biggest mountains.",Vertical Limit,https://www.imdb.com/title/tt0190865/,movie,5.9,124,2000,"Action, Adventure, Drama, Thriller",62934,12/3/2000,Martin Campbell,https://m.media-amazon.com/images/M/MV5BMTIzODIxNjY4NF5BMl5BanBnXkFtZTYwMjE2NDg2._V1_.jpg
53,tt3923662,11/25/2016,11/25/2016,"The ReZort, a safari park, offers paying guests the opportunity to kill as many zombies as they please following an outbreak.",The Rezort,https://www.imdb.com/title/tt3923662/,movie,5.3,91,2015,"Horror, Sci-Fi, Thriller",9588,6/22/2015,Steve Barker,https://m.media-amazon.com/images/M/MV5BYWMzMzgwMjItMGI1ZC00MGY0LTgwY2MtMWQ0NzQ2MDZiMDE0XkEyXkFqcGdeQXVyMjExMDIwNzA@._V1_.jpg
54,tt0059474,11/25/2016,11/25/2016,"Three bad boy motorcyclists get kicks raping women and generally being a nuisance. When they rape a veterinarian&apos;s wife, he takes exception and pursues them, teaming up with a Cajun woman whose husband they killed. The leader of t...",Motorpsycho!,https://www.imdb.com/title/tt0059474/,movie,5.9,74,1965,"Action, Thriller",1557,8/12/1965,Russ Meyer,https://m.media-amazon.com/images/M/MV5BMzJiNjQ5MjEtZTcwZC00ZDk2LWExYzYtNDJlYTJmODFiMmMxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg
